Data;Endereco;Moeda;Quantidade;Valor $;Valor do Ativo $
07/25/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;33,62548003;0,01
07/26/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;34,77128755;0,01
07/27/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;35,72423637;0,01
07/28/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;35,07192021;0,01
07/29/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;26,73361798;0,00
07/30/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;29,47901817;0,01
07/31/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;30,13133433;0,01
08/01/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;25,86008155;0,00
08/02/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,49072677;0,00
08/03/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,03926862;0,00
08/04/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,03926862;0,00
08/05/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,16405954;0,00
08/06/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,22078268;0,00
08/07/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,90480573;0,00
08/08/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,04261393;0,00
08/09/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;21,07264816;0,00
08/10/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;23,30186774;0,00
08/11/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;25,76365221;0,00
08/12/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;25,98487247;0,00
08/13/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,72060069;0,00
08/14/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;26,427313;0,00
08/15/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,51007072;0,00
08/16/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,39662443;0,00
08/18/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,16173254;0,00
08/19/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;20,15940554;0,00
08/20/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;20,81739401;0,00
08/21/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,17307717;0,00
08/22/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,9331673;0,00
08/23/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,3432466;0,00
08/24/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;22,12769865;0,00
08/25/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;21,93483996;0,00
08/26/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;25,45734723;0,00
08/27/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;25,61049972;0,00
08/28/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,83404698;0,00
08/29/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,00588907;0,00
08/30/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;26,80735807;0,00
08/31/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,74896226;0,00
09/01/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;26,67122252;0,00
09/02/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,74896226;0,00
09/03/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,28783214;0,00
09/04/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,15169659;0,00
09/05/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,30484908;0,00
09/06/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,77165152;0,00
09/07/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,90713273;0,00
09/08/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;24,64620626;0,00
09/09/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;26,80735807;0,00
09/10/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,74728961;0,01
09/11/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,98552681;0,01
09/12/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;32,32652002;0,01
09/13/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;29,22943633;0,01
09/14/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;29,89309712;0,01
09/15/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;29,91578638;0,01
09/16/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;29,50170743;0,01
09/17/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;28,72460035;0,01
09/18/2022;0x7E40b4D0a28612cbD8d8f78507FF517DF801045E;ALGB;5672,314445;27,73761764;0,00
